sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,0.0000000000e+00,0.0000000000e+00
-0.006,0.0000000000e+00,1.0247721852e+00
-0.005,1.2317665334e+00,6.1128460126e+00
-0.004,4.4805793979e+00,1.7251481982e+00
-0.003,4.5773539139e+00,9.4345058039e+00
-0.002,6.1046538211e+00,2.1852078001e+00
-0.001,1.0461403867e+01,7.8566947778e+00
+0.000,2.5451365286e+01,1.6157831758e+01
+0.001,3.2960662010e+01,2.7028838515e+01
+0.002,1.3764072030e+01,2.8067900091e+01
+0.003,0.0000000000e+00,8.8948578924e-03
+0.004,0.0000000000e+00,0.0000000000e+00
+0.005,0.0000000000e+00,0.0000000000e+00
+0.006,0.0000000000e+00,0.0000000000e+00
+0.007,0.0000000000e+00,0.0000000000e+00
+0.008,0.0000000000e+00,0.0000000000e+00
+0.009,0.0000000000e+00,0.0000000000e+00
+0.010,0.0000000000e+00,0.0000000000e+00
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
