sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,2.9885260580e-01,0.0000000000e+00
-0.018,8.4197667570e-01,5.7105792680e-01
-0.017,7.4270640037e-01,1.1954320732e+00
-0.016,7.6461887268e-01,1.0043331217e-01
-0.015,7.0732694011e-01,1.3874235858e+00
-0.014,2.0334260050e-01,1.3751139693e+00
-0.013,4.7098022651e-01,7.8916209174e-01
-0.012,1.0910995641e+00,1.9488704094e-01
-0.011,6.6273513341e-01,2.9188804464e-01
-0.010,7.3369441338e-01,5.2660973348e-01
-0.009,3.4031525507e-01,1.1329138524e+00
-0.008,1.0648887343e+00,1.3005908908e+00
-0.007,3.8492204151e+00,5.1470185294e+00
-0.006,5.4118388404e+00,5.6528819031e+00
-0.005,6.3662293852e+00,5.3596252997e+00
-0.004,5.9173328344e+00,5.9373843919e+00
-0.003,8.0292988923e+00,5.1224410947e+00
-0.002,1.1305265469e+01,9.9607350206e+00
-0.001,6.1714073569e+00,6.6820145743e+00
+0.000,3.3457615614e+00,2.5310118891e+00
+0.001,2.9069054627e+00,2.4780489574e+00
+0.002,2.8788841491e+00,9.6004775636e-01
+0.003,3.3475823493e+00,3.4256064604e+00
+0.004,3.0456825520e+00,2.7522390065e+00
+0.005,2.8569880774e+00,3.0548923066e+00
+0.006,3.5777089449e+00,1.5820711247e+00
+0.007,3.5778374197e+00,1.4818602157e+00
+0.008,3.0473282389e+00,5.6026015057e+00
+0.009,2.8746814992e+00,2.9909280047e+00
+0.010,4.4299881186e+00,3.7246998921e+00
+0.011,6.1412352169e+00,5.6679006088e+00
+0.012,1.6288079568e+00,2.9993197594e+00
+0.013,0.0000000000e+00,5.6562917788e-01
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
