sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,2.8164934481e-01,1.1458788157e+00
-0.006,7.4675598690e+00,1.1369835132e+01
-0.005,1.0211432569e+01,1.3111599489e+01
-0.004,9.4125032725e+00,1.2334508841e+01
-0.003,1.4045285249e+01,8.9278632123e+00
-0.002,1.0473585579e+01,7.1669570746e+00
-0.001,8.0405306120e+00,7.9854543996e+00
+0.000,8.0206714986e+00,4.6257898788e+00
+0.001,8.4887684831e+00,5.0363666270e+00
+0.002,8.7557028513e+00,9.1533162504e+00
+0.003,1.0329256243e+01,6.9413243762e+00
+0.004,1.0057075277e+01,4.2525073087e+00
+0.005,9.7941658140e+00,1.2989727268e+01
+0.006,7.5959920447e+00,7.5229206135e+00
+0.007,2.2619312061e+00,8.5355254624e+00
+0.008,0.0000000000e+00,8.2012525098e-01
+0.009,0.0000000000e+00,0.0000000000e+00
+0.010,0.0000000000e+00,0.0000000000e+00
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
