sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,1.6895141482e-01,1.6994682013e-01
-0.015,4.8096222705e-01,4.8136830760e-01
-0.014,1.5250410127e+00,1.5257344465e+00
-0.013,6.3180534547e-01,6.2971042576e-01
-0.012,5.0909535111e-01,5.1039566023e-01
-0.011,7.8759145781e-01,7.8574827569e-01
-0.010,1.1901567061e+00,1.1928134179e+00
-0.009,9.0800226061e-01,9.0661192996e-01
-0.008,7.5343646772e-01,7.5303956744e-01
-0.007,8.4763753541e-01,8.4840905558e-01
-0.006,1.0424988122e+00,1.0409980587e+00
-0.005,3.5005752231e+00,3.5081240254e+00
-0.004,9.2322602947e+00,9.2305019851e+00
-0.003,1.0091087033e+01,1.0089076030e+01
-0.002,1.0659467064e+01,1.0655729237e+01
-0.001,8.5129345317e+00,8.5144516180e+00
+0.000,6.3990296975e+00,6.4010019198e+00
+0.001,7.8316777869e+00,7.8170232336e+00
+0.002,4.1645393028e+00,4.1725786952e+00
+0.003,1.2418364269e+00,1.2453624251e+00
+0.004,1.5864525047e+00,1.5886226169e+00
+0.005,1.5264371121e+00,1.5276979044e+00
+0.006,1.1338444740e+00,1.1284922606e+00
+0.007,5.5699174607e-01,5.5876225399e-01
+0.008,1.0694150764e+00,1.0666487432e+00
+0.009,9.5558718024e-01,9.5767913215e-01
+0.010,1.4590017183e+00,1.4574533052e+00
+0.011,1.3136349072e+00,1.3168782510e+00
+0.012,1.7327422894e+00,1.7302086465e+00
+0.013,2.1278247414e+00,2.1255179943e+00
+0.014,2.2342618716e+00,2.2319102766e+00
+0.015,1.8763321266e+00,1.8820051745e+00
+0.016,3.5545830031e-01,3.5606830654e-01
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
