sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,0.0000000000e+00,9.1955573759e-02
-0.006,1.1917510387e+00,4.5904398595e+00
-0.005,5.7421881504e+00,6.9730183457e+00
-0.004,6.2306185281e+00,8.8637131797e+00
-0.003,6.0157368856e+00,4.5202179894e+00
-0.002,8.0894182604e+00,5.6229276614e+00
-0.001,1.0247454454e+01,6.9991142276e+00
+0.000,6.6185278763e+00,5.1126512423e+00
+0.001,7.5268255213e+00,3.3101764063e+00
+0.002,5.8084444971e+00,6.0297013885e+00
+0.003,5.6118937137e+00,4.2540163106e+00
+0.004,4.2112117756e+00,1.4251751657e+00
+0.005,4.9854715698e+00,4.4171734940e+00
+0.006,3.6794214232e+00,3.9432464458e+00
+0.007,8.2315468539e-01,1.7017238668e+00
+0.008,0.0000000000e+00,3.2719492363e+00
+0.009,0.0000000000e+00,1.2481044938e+00
+0.010,0.0000000000e+00,6.9451127128e-03
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
