sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,3.3263342925e-01,2.9839774654e-01
-0.006,5.1769908237e+00,6.5575145521e+00
-0.005,9.3682912295e+00,1.3535709015e+01
-0.004,1.3702485453e+01,1.6270506774e+01
-0.003,1.3099766457e+01,1.3970296986e+01
-0.002,1.3253839971e+01,9.4721033118e+00
-0.001,1.0970003987e+01,9.8754123101e+00
+0.000,1.6169638883e+01,1.1770312566e+01
+0.001,1.2102162433e+01,1.1543932605e+01
+0.002,8.5867556885e+00,4.9647721040e+00
+0.003,7.9311418077e+00,9.2675122606e+00
+0.004,8.3423095205e+00,5.8356757953e+00
+0.005,8.7965954489e+00,8.7223321338e+00
+0.006,7.4305515950e+00,8.6053060413e+00
+0.007,4.9752090113e+00,7.8936812430e+00
+0.008,3.3858578828e-01,2.3268445551e+00
+0.009,0.0000000000e+00,0.0000000000e+00
+0.010,0.0000000000e+00,0.0000000000e+00
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
