candidate,lvpp_file,area_A2,volume_A3,n_segments,area_raw_bohr2,volume_raw_bohr3,identity_note
fructose,FRUCTOSE.cosmo,197.70,205.79,1316,706.0,1388.76,"IDENTITY UNVERIFIED: FRUCTOSE.cosmo is the FURANOSE; candidate is cryst. D-fructose (beta-pyranose)"
xylose,XYLOSE.cosmo,179.18,179.40,1174,639.86,1210.66,"IDENTITY UNVERIFIED: XYLOSE.cosmo is the OPEN-CHAIN aldehyde tautomer; D-xylose is the pyranose (see DXYLOSE.cosmo)"
lactose,LACTOSE.cosmo,316.88,380.71,2097,1131.59,2569.19,""
mannitol,MANNITOL.cosmo,211.66,219.79,1493,755.86,1483.24,""
erythritol,ERYTHRITOL.cosmo,157.57,151.33,1077,562.68,1021.22,""
glycine,GLYCINE.cosmo,110.50,95.09,692,394.6,641.68,""
alanine,ALANINE.cosmo,131.46,119.36,867,469.46,805.45,""
serine,SERINE.cosmo,140.59,130.38,935,502.07,879.86,""
valine,VALINE.cosmo,159.38,160.08,1089,569.14,1080.24,""
glutamicAcid,GLUTAMIC_ACID.cosmo,185.42,180.02,1210,662.14,1214.84,""
lysine,LYSINE.cosmo,206.11,202.93,1469,736.02,1369.45,""
urea,UREA.cosmo,99.82,81.52,631,356.46,550.11,""
acrylamide,ACRYLAMIDE.cosmo,115.88,101.88,713,413.82,687.49,""
caffeine,CAFFEINE.cosmo,222.31,235.34,1351,793.88,1588.16,""
carbamazepine,CARBAMAZEPINE.cosmo,259.51,294.73,1543,926.73,1988.96,""
ibuprofen,IBUPROFEN.cosmo,269.75,290.19,1820,963.28,1958.28,""
diclofenac,DICLOFENAC.cosmo,295.33,338.56,1696,1054.66,2284.7,""
naproxen,NAPROXEN.cosmo,277.60,299.36,1762,991.31,2020.2,""
ketoprofen,KETOPROFEN.cosmo,293.10,328.68,1809,1046.68,2218.07,""
atenolol,ATENOLOL.cosmo,332.60,362.74,2212,1187.75,2447.89,""
bisphenolA,BISPHENOL_A.cosmo,267.31,302.36,1650,954.58,2040.4,""
estradiol,ESTRADIOL.cosmo,296.84,349.55,2025,1060.05,2358.85,""
estriol,ESTRIOL.cosmo,307.91,362.31,2106,1099.56,2444.96,""
estrone,ESTRONE.cosmo,302.36,350.93,2000,1079.73,2368.19,""
testosterone,TESTOSTERONE.cosmo,311.73,382.57,2127,1113.21,2581.68,""
progesterone,PROGESTERONE.cosmo,331.58,411.12,2248,1184.09,2774.37,""
glyphosate,GLYPHOSATE.cosmo,192.84,185.41,1250,688.65,1251.2,""
limonene,LIMONENE.cosmo,202.87,210.51,1433,724.46,1420.57,""
alphaPinene,ALPHA-PINENE.cosmo,191.62,202.69,1365,684.3,1367.85,""
furfurylAlcohol,FURFURYL_ALCOHOL.cosmo,140.24,130.92,860,500.81,883.5,""
levulinicAcid,LEVULINIC_ACID.cosmo,160.62,152.37,1057,573.59,1028.27,""
nPropanol,N-PROPANOL.cosmo,113.09,97.15,813,403.86,655.62,""
phenylalanine,L-PHENYLALANINE.cosmo,213.02,220.85,1351,760.72,1490.4,""
PFBA,HEPTAFLUOROBUTANOIC_ACID.cosmo,171.48,173.59,1058,612.38,1171.41,""
gammaValerolactone,G-VALEROLACTONE.cosmo,141.59,132.67,921,505.64,895.29,""
