# Experimental solubility data -- Prof. Fatima Farelo (IST/DEQ)
# Farelo, Fernandes & Avelino, J. Chem. Eng. Data 50 (2005) 1470-1477. DOI 10.1021/je050111j.
# Saturated-solution molalities (mol per kg water). Full transcription of the paper's data tables.
# type: binary | saturation | invariant.  (NaCl/KCl pure-water binaries are from the Table 12 smoothing eqs.)
#
system,T_K,salt1,m1_molkg,salt2,m2_molkg,solid,type
KCl+NH4Cl,296.5,KCl,0.5365,NH4Cl,6.8582,NH4Cl,saturation
KCl+NH4Cl,296.8,KCl,4.319,NH4Cl,0.9348,KCl,saturation
KCl+NH4Cl,297.4,KCl,3.4264,NH4Cl,2.8058,KCl,saturation
KCl+NH4Cl,297.7,KCl,1.0075,NH4Cl,6.5678,NH4Cl,saturation
KCl+NH4Cl,298.2,KCl,2.23,NH4Cl,5.75,invariant,invariant
KCl+NH4Cl,298.4,KCl,2.6741,NH4Cl,4.6749,KCl,saturation
KCl+NH4Cl,298.5,KCl,3.8419,NH4Cl,1.8704,KCl,saturation
KCl+NH4Cl,298.8,KCl,1.3427,NH4Cl,6.5895,NH4Cl,saturation
KCl+NH4Cl,300.6,KCl,4.3804,NH4Cl,0.9348,KCl,saturation
KCl+NH4Cl,300.6,KCl,3.5405,NH4Cl,2.8058,KCl,saturation
KCl+NH4Cl,301.7,KCl,2.144,NH4Cl,6.1913,NH4Cl,saturation
KCl+NH4Cl,301.9,KCl,0.5365,NH4Cl,7.284,NH4Cl,saturation
KCl+NH4Cl,302.5,KCl,1.0075,NH4Cl,7.0475,NH4Cl,saturation
KCl+NH4Cl,303.2,KCl,2.25,NH4Cl,6.29,invariant,invariant
KCl+NH4Cl,303.4,KCl,2.8415,NH4Cl,4.6749,KCl,saturation
KCl+NH4Cl,303.4,KCl,1.3427,NH4Cl,6.9349,NH4Cl,saturation
KCl+NH4Cl,304.4,KCl,4.0586,NH4Cl,1.8704,KCl,saturation
KCl+NH4Cl,304.6,KCl,2.3228,NH4Cl,6.0744,KCl,saturation
KCl+NH4Cl,304.7,KCl,4.5432,NH4Cl,0.9348,KCl,saturation
